,Cidade,Area,Quartos,Banheiros,Vagas Garagem,Andar,Animal,Mobiliado,Condominio,Aluguel,IPTU,Seguro Incendio,Total
0,True,240.0,3,3,4,-,True,True,,,,,
1,False,64.0,2,1,1,10,True,False,,,,,
2,True,443.0,5,5,4,3,True,True,,,,,
3,True,,2,2,1,12,True,False,,,,,
4,True,,1,1,0,-,False,False,,,,,
5,True,,1,1,0,2,True,False,,,,,
6,True,55.0,1,1,1,2,True,True,,,,,
7,True,55.0,2,2,1,2,True,False,,,,,
8,True,82.0,3,1,1,3,True,True,,,,,
9,True,32.0,1,1,1,16,True,False,,,,,
10,False,60.0,1,1,0,6,True,False,,,,,
11,False,64.0,1,2,1,4,True,True,,,,,
12,True,20.0,1,1,0,4,True,True,,,,,
13,True,375.0,4,5,5,1,True,False,,,,,
14,True,92.0,2,1,1,7,False,True,,,,,
15,False,56.0,2,1,1,1,True,False,,,,,
16,False,188.0,2,3,8,-,True,False,,,,,
17,True,100.0,3,2,1,-,True,False,,,,,
18,True,192.0,3,3,2,13,True,False,,,,,
19,True,93.0,3,2,1,10,True,False,,,,,
20,True,155.0,3,3,2,-,True,False,,,,,
21,True,80.0,2,2,0,9,False,False,,,,,
22,True,65.0,2,2,2,14,False,False,,,,,
23,True,320.0,3,3,4,-,True,False,,,,,
24,True,180.0,3,5,3,3,True,False,,,,,
25,True,31.0,1,1,1,4,True,False,,,,,
26,True,105.0,4,2,2,3,True,False,,,,,
27,True,300.0,3,4,2,9,True,True,,,,,
28,False,150.0,3,2,2,13,True,False,,,,,
29,True,130.0,3,3,2,-,True,False,,,,,
30,True,70.0,2,1,0,1,True,False,,,,,
31,True,120.0,3,1,4,-,True,False,,,,,
32,True,250.0,3,4,2,-,True,False,,,,,
33,True,50.0,1,1,0,1,True,False,,,,,
34,True,,3,3,3,3,True,False,,,,,
35,True,,4,4,2,-,False,False,,,,,
36,False,94.0,3,3,2,1,True,False,,,,,
37,True,176.0,3,4,3,4,True,False,,,,,
38,True,180.0,3,4,5,-,True,False,,,,,
39,True,191.0,3,3,4,1,True,True,,,,,
40,True,25.0,1,1,0,14,True,False,,,,,
41,True,800.0,4,5,4,9,True,False,,,,,
42,True,340.0,3,4,3,-,True,True,,,,,
43,True,90.0,2,1,0,-,False,False,,,,,
44,False,650.0,5,4,8,-,True,True,,,,,
45,True,100.0,2,2,0,1,True,False,,,,,
46,True,230.0,4,4,4,1,True,True,,,,,
47,True,190.0,2,3,2,-,True,False,,,,,
48,True,205.0,4,4,6,5,True,False,,,,,
49,True,96.0,3,3,2,8,True,False,,,,,
50,True,396.0,4,4,4,-,True,False,,,,,
51,False,74.0,3,2,1,7,True,False,,,,,
52,False,30.0,1,1,0,5,False,True,,,,,
53,True,64.0,3,2,1,7,True,False,,,,,
54,True,105.0,3,2,2,1,True,True,,,,,
55,True,50.0,1,2,1,10,True,True,,,,,
56,True,60.0,2,1,0,3,False,False,,,,,
57,True,50.0,2,1,1,6,True,True,,,,,
58,True,90.0,2,2,0,-,True,False,,,,,
59,True,130.0,3,2,1,8,False,True,,,,,
60,True,20.0,1,1,0,1,False,True,,,,,
61,True,400.0,4,3,2,-,True,False,,,,,
62,True,220.0,3,3,5,-,True,False,,,,,
63,True,750.0,7,6,5,-,True,True,,,,,
64,True,20.0,1,1,0,-,True,True,,,,,
65,False,140.0,3,2,2,15,False,False,,,,,
66,True,22.0,1,1,0,-,False,False,,,,,
67,True,345.0,2,3,2,4,False,False,,,,,
68,False,46.0,2,1,1,3,False,False,,,,,
69,True,35.0,1,1,1,2,False,True,,,,,
70,False,72.0,2,2,1,2,True,False,,,,,
71,True,60.0,1,1,2,2,False,False,,,,,
72,True,180.0,3,2,4,-,False,True,,,,,
73,True,83.0,3,2,1,9,False,True,,,,,
74,True,50.0,1,1,0,1,True,False,,,,,
75,True,38.0,1,1,1,14,False,True,,,,,
76,True,140.0,3,3,2,2,True,False,,,,,
77,False,62.0,2,1,1,3,True,False,,,,,
78,True,70.0,1,1,0,2,True,True,,,,,
79,False,55.0,1,1,0,14,True,False,,,,,
80,False,60.0,2,1,1,1,False,False,,,,,
81,True,85.0,2,2,1,6,True,False,,,,,
82,True,134.0,3,3,3,11,False,False,,,,,
83,True,200.0,3,2,2,19,True,False,,,,,
84,True,170.0,3,2,2,-,True,True,,,,,
85,True,46.0,1,1,2,16,True,True,,,,,
86,True,20.0,1,1,0,4,True,True,,,,,
87,True,58.0,2,2,1,5,False,True,,,,,
88,True,96.0,3,2,3,4,True,False,,,,,
89,True,190.0,3,3,3,6,True,False,,,,,
90,True,87.0,3,2,4,14,True,False,,,,,
91,True,42.0,1,1,0,5,True,False,,,,,
92,True,145.0,3,3,1,10,True,True,,,,,
93,True,250.0,4,6,4,12,False,False,,,,,
94,True,90.0,2,1,1,1,True,False,,,,,
95,True,250.0,6,2,2,-,True,False,,,,,
96,True,500.0,3,4,5,-,True,True,,,,,
97,True,80.0,2,2,2,6,True,True,,,,,
98,False,120.0,3,2,3,-,True,False,,,,,
99,False,265.0,3,3,2,-,True,False,,,,,
100,False,50.0,2,1,1,4,True,False,,,,,
101,False,126.0,3,3,2,1,True,False,,,,,
102,False,55.0,2,1,1,1,True,False,,,,,
103,True,29.0,1,1,1,20,True,True,,,,,
104,True,59.0,2,1,1,24,True,False,,,,,
105,True,200.0,2,4,4,4,True,False,,,,,
106,True,74.0,3,2,1,7,True,False,,,,,
107,True,290.0,4,5,2,6,True,False,,,,,
108,True,172.0,3,4,3,1,True,False,,,,,
109,True,25.0,1,1,0,5,False,True,,,,,
110,True,50.0,1,1,1,-,True,False,,,,,
111,True,40.0,1,1,0,3,True,False,,,,,
112,True,80.0,2,2,2,-,True,False,,,,,
113,True,280.0,6,6,3,-,True,False,,,,,
114,True,60.0,1,1,1,12,True,True,,,,,
115,True,115.0,2,3,2,8,True,False,,,,,
116,True,540.0,3,3,4,9,True,False,,,,,
117,True,76.0,2,1,1,12,False,True,,,,,
118,False,150.0,4,5,2,1,True,False,,,,,
119,True,130.0,3,2,1,8,True,False,,,,,
120,False,64.0,2,1,1,-,True,False,,,,,
121,True,55.0,2,2,1,2,True,False,,,,,
122,True,50.0,1,1,0,1,True,False,,,,,
123,True,120.0,2,3,2,20,True,False,,,,,
124,False,236.0,3,4,4,10,True,False,,,,,
125,False,30.0,1,1,0,4,True,False,,,,,
126,False,270.0,3,3,0,-,True,True,,,,,
127,False,48.0,1,1,0,9,True,False,,,,,
128,False,198.0,6,3,4,-,True,False,,,,,
129,True,50.0,1,1,0,-,True,False,,,,,
130,True,185.0,3,3,3,20,True,False,,,,,
131,True,440.0,4,4,4,-,True,False,,,,,
132,False,119.0,3,2,2,7,True,False,,,,,
133,True,57.0,2,2,2,16,True,False,,,,,
134,True,65.0,2,1,1,1,True,False,,,,,
135,True,35.0,2,1,1,-,True,False,,,,,
136,False,51.0,1,2,1,16,False,False,,,,,
137,False,70.0,2,3,1,7,True,False,,,,,
138,True,90.0,2,1,1,-,True,False,,,,,
139,True,320.0,3,4,3,8,True,False,,,,,
140,True,250.0,7,5,2,-,True,False,,,,,
141,True,70.0,2,1,1,6,True,False,,,,,
142,True,169.0,4,6,3,7,True,True,,,,,
143,True,33.0,1,1,0,1,False,False,,,,,
144,True,225.0,4,4,3,7,True,False,,,,,
145,True,42.0,1,1,0,2,True,True,,,,,
146,True,120.0,3,4,1,-,False,False,,,,,
147,True,70.0,3,2,2,3,False,False,,,,,
148,True,90.0,1,1,2,-,True,True,,,,,
149,True,260.0,4,5,4,9,True,True,,,,,
150,True,243.0,3,3,4,10,True,False,,,,,
151,True,100.0,1,1,0,-,True,False,,,,,
152,True,240.0,3,4,3,9,True,False,,,,,
153,False,45.0,1,1,1,4,True,False,,,,,
154,True,65.0,1,1,1,2,True,True,,,,,
155,True,47.0,1,1,0,4,False,False,,,,,
156,True,60.0,2,1,0,2,True,True,,,,,
157,True,340.0,4,6,6,-,True,True,,,,,
158,True,500.0,4,4,0,-,True,False,,,,,
159,True,55.0,2,1,1,14,True,False,,,,,
160,True,240.0,3,4,3,3,True,True,,,,,
161,True,65.0,2,2,1,1,True,False,,,,,
162,True,68.0,1,1,0,-,False,False,,,,,
163,True,500.0,4,4,3,-,True,False,,,,,
164,True,198.0,2,2,2,13,True,False,,,,,
165,True,62.0,2,1,1,13,True,False,,,,,
166,True,60.0,2,2,1,4,True,False,,,,,
167,True,187.0,3,2,3,-,False,True,,,,,
168,True,,1,1,0,23,True,False,,,,,
169,True,,3,4,3,-,True,False,,,,,
170,True,17.0,1,1,0,1,False,True,,,,,
171,True,67.0,2,2,1,17,True,False,,,,,
172,True,20.0,1,1,0,1,True,True,,,,,
173,True,118.0,3,2,2,7,True,True,,,,,
174,True,43.0,1,1,1,2,True,False,,,,,
175,True,195.0,2,3,1,10,True,False,,,,,
176,True,141.0,3,4,3,7,False,False,,,,,
177,True,45.0,1,1,1,1,False,False,,,,,
178,True,48.0,1,1,1,19,True,False,,,,,
179,True,280.0,3,4,2,3,False,False,,,,,
180,True,170.0,3,2,2,5,False,False,,,,,
181,True,90.0,3,2,1,-,True,False,,,,,
182,False,35.0,1,1,1,7,True,False,,,,,
183,True,16.0,1,1,0,8,False,False,,,,,
184,False,68.0,1,1,1,10,False,True,,,,,
185,True,80.0,3,5,2,4,False,False,,,,,
186,True,190.0,3,2,1,6,True,True,,,,,
187,True,150.0,3,4,2,-,False,False,,,,,
188,True,112.0,3,3,2,12,True,True,,,,,
189,True,145.0,3,4,3,1,False,False,,,,,
190,False,47.0,1,1,1,8,True,False,,,,,
191,True,128.0,3,2,1,3,True,True,,,,,
192,True,250.0,3,4,4,-,True,False,,,,,
193,True,120.0,3,1,0,2,True,False,,,,,
194,True,110.0,2,2,2,-,False,False,,,,,
195,True,400.0,2,5,4,-,True,False,,,,,
196,True,35.0,1,1,1,9,False,True,,,,,
197,True,107.0,2,2,2,18,True,True,,,,,
198,True,97.0,2,2,0,1,True,False,,,,,
199,True,70.0,2,1,0,1,False,False,,,,,
200,True,20.0,1,1,0,3,False,True,,,,,
201,True,130.0,3,2,2,6,True,False,,,,,
202,True,120.0,3,2,3,16,True,False,,,,,
203,True,110.0,3,3,2,2,True,True,,,,,
204,True,300.0,3,5,3,-,True,False,,,,,
205,True,349.0,4,5,4,8,False,False,,,,,
206,True,97.0,3,2,2,1,True,False,,,,,
207,True,84.0,4,1,3,5,False,False,,,,,
208,True,180.0,2,2,1,-,False,False,,,,,
209,True,286.0,4,4,5,-,True,False,,,,,
210,True,500.0,5,7,5,22,True,False,,,,,
211,True,110.0,3,3,3,4,True,False,,,,,
212,True,196.0,4,4,0,11,True,False,,,,,
213,True,33.0,1,1,1,12,False,False,,,,,
